Date,NO,NO2,PM25
01-2010,23.25,43.21,13.59
02-2010,23.36,42.82,13.59
03-2010,16.55,41.17,11.36
04-2010,10.43,36.32,11.66
05-2010,14.35,31.14,10.38
06-2010,9,27.22,11.15
07-2010,10.22,25.06,6.78
08-2010,9.98,24.76,6.8
09-2010,13.87,33.58,9.55
10-2010,18.96,37.19,11.6
11-2010,23.41,39.89,11.6
12-2010,45.69,50.68,15.34
01-2011,21.41,44.09,11.06
02-2011,18.77,42.8,15.8
03-2011,24.95,46.81,19.84
04-2011,7.68,28.67,14.31
05-2011,9.85,31.27,8.46
06-2011,10.48,30.01,7.71
07-2011,9.27,26.38,8.78
08-2011,11.99,29.85,7.78
09-2011,22.27,42.94,10.5
10-2011,19.46,48.31,12.14
11-2011,26.56,45.95,19.27
12-2011,15.78,40.69,7.37
01-2012,41.95,45.97,14.02
02-2012,21.95,43.68,12.83
03-2012,25.37,43.72,18.91
04-2012,7.38,30.45,7.15
05-2012,7.04,27.06,9.11
06-2012,8.22,27.83,7.6
07-2012,9.66,24.92,9.43
08-2012,11.15,31.49,10.9
09-2012,15.92,35.38,8.31
10-2012,23.81,34.05,10.6
11-2012,27.18,41.38,13.74
12-2012,27.25,45.81,10.22
01-2013,25.51,50.52,11.32
02-2013,18.77,40.73,12.79
03-2013,11.12,32.15,14.56
04-2013,9.51,29.64,NaN
05-2013,8.16,27.33,NaN
06-2013,8.07,22.95,NaN
07-2013,8.54,25.97,13.59
08-2013,9.42,28.64,7.17
09-2013,15.53,33.63,7.11
10-2013,13.92,32.34,6.67
11-2013,23.06,38.86,8.5
12-2013,26.46,43.78,8.6
01-2014,27.66,44.25,9.86
02-2014,15.63,41.64,6.07
03-2014,16.79,38.4,14.33
04-2014,9.11,33.13,10
05-2014,7.24,30.06,5.87
06-2014,9.88,35.8,3.92
07-2014,7.8,31,6.93
08-2014,9.6,39.46,5.32
09-2014,15.02,38.85,15.25
10-2014,17.01,37.83,8.15
11-2014,32.25,43.54,16.42
12-2014,20.07,40.6,7.47
01-2015,16.07,36.88,7.34
02-2015,14.42,40.2,9.09
03-2015,14.64,35.69,10.71
04-2015,11.18,28.03,8.4
05-2015,7.82,23.24,3.97
06-2015,8.1,18.43,5.27
07-2015,8.15,20.15,5.53
08-2015,8.13,21.55,6.34
09-2015,13.46,31.48,7.09
10-2015,26.17,41.16,12.27
11-2015,18.98,36.63,8.58
12-2015,12.93,34.93,7.58
01-2016,24.04,44.45,10.52
