01-2010,63.23,175.54,21.2
02-2010,69.82,205.63,23.99
03-2010,52.37,144.96,19.71
04-2010,54.5,124.34,19.5
05-2010,46.87,123.52,14.93
06-2010,44.87,113.56,20.51
07-2010,30.38,76.2,NaN
08-2010,28.96,73.99,10.24
09-2010,44.46,118.03,14.58
10-2010,52.73,141.9,17.36
11-2010,56.59,169.88,19.2
12-2010,68.9,217.16,22.88
01-2011,61.85,162.03,16.97
02-2011,58.1,150.02,23.81
03-2011,59.33,156.09,29.53
04-2011,44.27,90.03,22.76
05-2011,37.48,76.33,14.22
06-2011,37.32,86.6,13.95
07-2011,34.08,84.25,14.26
08-2011,28.31,73.45,14.66
09-2011,37.22,96.72,15.91
10-2011,45.86,121.36,17.53
11-2011,48.17,151.57,28.21
12-2011,34.66,84.57,10.58
01-2012,43.6,141.64,18.41
02-2012,46.53,128.74,19.37
03-2012,48.82,130.31,27.63
04-2012,41.41,93.72,13.13
05-2012,51.59,122.68,17.23
06-2012,30.12,75.33,13.98
07-2012,34.66,86.02,14.85
08-2012,38.71,83.73,15.83
09-2012,36.8,83.28,12.69
10-2012,50.64,131.95,16.42
11-2012,54.78,136.03,19.05
12-2012,51.86,134.88,15.06
01-2013,52.27,135.72,19.52
02-2013,55.34,143.16,21.45
03-2013,53.57,129.97,24.97
04-2013,41.45,89.61,NaN
05-2013,38.34,84.75,NaN
06-2013,33.49,77.28,NaN
07-2013,38.75,82.27,10.48
08-2013,30.87,66.85,8.84
09-2013,40.58,107.09,10.48
10-2013,41.86,107.66,10.15
11-2013,48.83,129.17,11.56
12-2013,40.26,105.31,11.02
01-2014,49.73,129.51,12.93
02-2014,41.54,91.99,8.37
03-2014,48.59,115.26,20.3
04-2014,45.75,99.23,17.18
05-2014,44.28,98.02,11.59
06-2014,42.09,102.41,10.2
07-2014,32.89,74,11.44
08-2014,28.83,65.68,7.76
09-2014,52.72,130.8,21.49
10-2014,46.23,114.1,11.35
11-2014,61.76,183.21,23.06
12-2014,40.52,105.63,10.59
01-2015,39.46,96.97,10.54
02-2015,48.05,117.14,8.47
03-2015,44.11,103.4,17.12
04-2015,46.16,100.5,14.9
05-2015,31.3,69.47,8.51
06-2015,36.41,83.25,10.47
07-2015,32.79,76.33,8.18
08-2015,30.37,67.93,9.32
09-2015,46.18,123.02,11.78
10-2015,49.98,148.92,20.26
11-2015,33.81,98.71,12.52
12-2015,31.5,81.95,10.17
01-2016,47.55,134.82,15.86
